FirstSubID SUBID ProjID M200(Msun/h) Rein(kpc/h) VDSIE(km/s) slat lambda	VD_apt(km/s) Rapt(kpc/h) VD_e(km/s) Reff_ser(kpc/h) PL-slope_e
     38307         0         2 4.06902E+13     7.39804   329.19866     1.07304     1.06157	     286.72269       7.10727     288.03720       5.20778       2.14236
     76240         0         2 1.88840E+13     6.09881   298.89745     1.20899     1.07511	     218.35480       7.10727     219.56599       5.47692       2.22614
     82074         0         2 1.76626E+13     5.78379   291.07582     1.40077     1.13162	     250.76460       7.10727     249.87880       2.91038       2.23696
    160281         0         1 5.64859E+12     5.10709   273.51839     0.95999     0.94655	     234.24170       7.10727     230.83940      15.00215       1.85549
    165345         0         3 5.25139E+12     4.42454   254.58559     0.21695     0.30807	     179.83540       7.10727     188.61890      13.02499       2.20782
    139644         0         2 7.70613E+12     4.09533   244.93139     1.41509     1.06019	     201.42439       7.10727     207.14900       2.20099       2.19066
    176276         0         3 4.56522E+12     3.57194   228.74519     0.42178     0.52024	     190.60170       7.10727     190.85181       9.56907       2.27558
     90783         0         1 1.19412E+13     3.43177   224.21204     1.78671     1.21354	     198.98280       7.10727     202.02890      11.10580       1.47646
    228508         0         3 2.24437E+12     2.99324   209.39693     1.59305     1.11803	     159.96449       7.10727     153.59990       2.10851       1.76146
    231499         0         2 1.79529E+12     2.72271   199.71020     0.62551     0.68781	     166.00420       7.10727     158.14529       4.79845       1.79950
    217576         0         2 2.79567E+12     2.71743   199.51664     0.80319     0.85542	     163.40630       7.10727     152.25140       4.60004       1.95201
